ID,sex,age,occupations
1,0,64,12
2,0,27,0
3,1,33,2
4,0,1,-1
5,0,55,14
6,1,48,21
7,0,18,-1
8,1,60,12
9,1,49,12
10,0,70,15
11,0,32,20
12,0,34,18
13,1,58,1
14,0,36,15
15,1,57,15
16,0,30,2
17,0,76,14
18,0,34,12
19,0,26,20
20,1,40,1
21,0,31,14
22,1,79,16
23,1,39,19
24,0,49,1
25,1,28,12
26,1,31,21
27,0,29,1
28,0,44,12
29,0,88,2
30,1,72,1
31,0,12,-1
32,1,51,14
33,0,34,16
34,1,9,-1
35,1,20,9
36,0,25,0
37,0,25,21
38,1,57,0
39,1,43,12
40,1,60,21
41,1,56,1
42,0,20,15
43,1,5,-1
44,0,6,-1
45,1,20,14
46,1,29,12
47,0,62,14
48,1,52,10
49,0,80,16
50,0,37,14
51,0,77,20
52,1,9,-1
53,0,28,1
54,1,38,0
55,1,22,14
56,0,78,14
57,1,45,14
58,1,46,15
59,1,58,1
60,0,10,-1
61,1,8,-1
62,1,46,12
63,1,42,21
64,0,39,2
65,1,23,13
66,0,69,10
67,0,26,20
68,1,66,11
69,0,54,1
70,1,34,1
71,1,66,8
72,1,72,13
73,0,6,-1
74,1,60,13
75,1,3,-1
76,0,18,-1
77,1,47,15
78,0,50,1
79,0,43,14
80,0,37,14
81,0,66,0
82,1,63,7
83,0,23,18
84,0,38,8
85,1,63,14
86,1,56,10
87,0,40,21
88,0,9,-1
89,1,24,20
90,1,25,14
91,1,56,2
92,0,52,12
93,1,63,2
94,1,37,0
95,1,40,21
96,0,50,14
97,1,39,21
98,0,12,-1
99,1,37,15
100,0,63,2
101,0,28,2
102,0,15,-1
103,1,74,12
104,0,75,7
105,1,57,1
106,0,24,1
107,1,30,2
108,0,77,21
109,1,22,16
110,1,15,-1
111,1,49,12
112,1,62,15
113,0,36,7
114,1,42,12
115,1,46,14
116,0,44,12
117,0,26,12
118,0,46,12
119,0,40,0
120,0,67,11
121,1,71,1
122,0,25,1
123,0,29,12
124,0,27,14
125,0,68,1
126,1,57,9
127,0,22,17
128,0,5,-1
129,1,64,0
130,0,12,-1
131,0,28,9
132,1,62,7
133,1,44,21
134,1,11,-1
135,1,46,2
136,1,28,19
137,0,0,-1
138,0,21,12
139,1,4,-1
140,0,63,2
141,0,58,16
142,0,55,21
143,1,41,1
144,1,24,19
145,1,15,-1
146,0,36,14
147,0,29,2
148,1,56,14
149,1,59,21
150,1,2,-1
151,1,10,-1
152,1,46,2
153,0,66,2
154,1,79,18
155,0,21,0
156,0,16,-1
157,1,18,-1
158,1,9,-1
159,0,28,2
160,0,37,0
161,1,76,2
162,0,70,21
163,1,2,-1
164,0,54,0
165,1,27,14
166,0,21,1
167,1,40,12
168,1,68,0
169,0,6,-1
170,1,51,2
171,1,6,-1
172,0,70,0
173,1,43,12
174,0,31,5
175,0,5,-1
176,0,0,-1
177,1,83,14
178,1,41,9
179,1,5,-1
180,0,27,12
181,1,61,18
182,0,49,21
183,0,46,14
184,1,67,7
185,1,35,12
186,1,24,14
187,1,30,0
188,1,47,12
189,0,33,14
190,1,28,1
191,0,32,21
192,0,12,-1
193,1,9,-1
194,0,32,14
195,0,52,0
196,1,8,-1
197,1,18,-1
198,1,48,2
199,1,46,18
200,0,6,-1
201,0,13,-1
202,1,46,14
203,1,16,-1
204,1,58,1
205,1,51,14
206,0,49,16
207,0,33,15
208,0,60,21
209,0,56,15
210,0,38,14
211,0,50,12
212,1,29,21
213,1,52,2
214,1,48,14
215,1,49,21
216,0,44,0
217,0,33,0
218,1,35,9
219,1,11,-1
220,1,28,12
221,1,34,0
222,0,49,4
223,0,19,14
224,1,56,14
225,1,47,12
226,1,3,-1
227,1,27,16
228,0,49,14
229,0,14,-1
230,1,33,1
231,1,1,-1
232,1,31,12
233,0,8,-1
234,1,3,-1
235,1,65,1
236,1,60,14
237,1,8,-1
238,1,66,15
239,1,35,14
240,0,29,1
241,0,16,-1
242,1,70,14
243,1,49,14
244,1,6,-1
245,1,35,1
246,0,76,0
247,1,18,-1
248,1,4,-1
249,0,43,13
250,0,55,12
251,0,43,12
252,0,29,18
253,0,18,-1
254,0,6,-1
255,1,39,15
256,1,54,20
257,0,3,-1
258,0,25,18
259,0,30,9
260,0,35,20
261,0,6,-1
262,1,18,-1
263,0,20,15
264,0,74,15
265,1,37,1
266,1,57,9
267,0,38,14
268,1,46,20
269,0,62,2
270,0,5,-1
271,1,20,11
272,0,39,12
273,0,51,12
274,1,47,9
275,0,21,14
276,0,91,18
277,1,1,-1
278,1,30,1
279,0,16,-1
280,0,42,21
281,1,30,2
282,0,53,12
283,1,17,-1
284,1,21,2
285,0,18,-1
286,0,35,14
287,1,54,18
288,1,51,21
289,0,45,19
290,0,49,12
291,1,65,2
292,0,14,-1
293,0,61,14
294,1,38,12
295,1,60,15
296,1,61,19
297,0,50,14
298,0,29,19
299,0,70,21
300,1,5,-1
301,0,52,2
302,1,20,0
303,0,14,-1
304,1,33,16
305,1,53,2
306,0,36,11
307,1,44,14
308,1,17,-1
309,0,14,-1
310,0,83,16
311,1,12,-1
312,0,43,9
313,0,69,19
314,1,25,21
315,0,21,0
316,0,53,2
317,0,6,-1
318,1,51,20
319,1,32,12
320,0,53,0
321,0,37,14
322,0,21,14
323,0,29,12
324,1,31,0
325,1,34,1
326,1,34,12
327,0,41,18
328,1,14,-1
329,1,60,20
330,0,14,-1
331,1,58,12
332,1,71,6
333,0,65,1
334,0,27,1
335,0,13,-1
336,0,42,14
337,1,24,21
338,0,1,-1
339,0,84,12
340,0,53,2
341,1,23,14
342,1,23,15
343,0,38,14
344,1,24,12
345,0,31,2
346,0,85,14
347,0,52,20
348,0,3,-1
349,1,45,9
350,1,52,12
351,1,25,14
352,1,9,-1
353,0,37,12
354,1,46,14
355,1,21,10
356,1,42,2
357,0,75,18
358,1,53,14
359,1,47,14
360,0,66,19
361,1,50,1
362,0,41,14
363,1,35,1
364,1,1,-1
365,0,33,14
366,1,26,14
367,1,69,12
368,1,35,20
369,1,22,12
370,1,29,18
371,0,46,0
372,0,3,-1
373,1,19,12
374,1,21,12
375,1,32,11
376,1,1,-1
377,0,88,12
378,1,46,14
379,0,14,-1
380,0,44,14
381,0,14,-1
382,0,46,14
383,0,22,3
384,1,53,16
385,1,25,12
386,1,46,9
387,1,58,0
388,1,27,0
389,1,41,2
390,0,65,15
391,0,24,14
392,0,35,21
393,0,42,13
394,0,25,9
395,0,68,0
396,0,4,-1
397,0,39,18
398,0,18,-1
399,1,34,16
400,1,32,7
401,0,17,-1
402,0,35,14
403,0,96,10
404,0,81,12
405,1,51,1
406,1,59,13
407,0,13,-1
408,1,34,10
409,1,35,12
410,1,2,-1
411,1,36,21
412,0,59,2
413,0,38,18
414,1,15,-1
415,0,38,21
416,0,38,2
417,0,50,14
418,0,10,-1
419,1,49,14
420,0,101,20
421,1,14,-1
422,0,18,-1
423,0,19,15
424,1,18,-1
425,0,37,19
426,1,66,12
427,0,11,-1
428,0,16,-1
429,0,39,14
430,0,42,14
431,0,28,21
432,1,38,1
433,0,34,1
434,1,20,7
435,0,62,1
436,0,10,-1
437,1,39,1
438,1,20,14
439,1,37,12
440,0,39,12
441,0,42,12
442,0,45,12
443,0,54,21
444,1,20,21
445,1,27,20
446,0,33,14
447,1,30,16
448,0,27,20
449,1,42,16
450,0,32,12
451,1,85,15
452,0,49,21
453,0,21,15
454,1,19,1
455,1,44,20
456,0,42,2
457,0,76,12
458,0,18,-1
459,0,64,14
460,1,25,15
461,1,49,0
462,0,17,-1
463,1,21,18
464,0,23,9
465,1,54,14
466,1,77,12
467,1,11,-1
468,0,40,18
469,1,5,-1
470,1,32,5
471,1,23,2
472,1,70,9
473,0,22,15
474,1,19,16
475,1,61,2
476,1,61,14
477,0,38,9
478,1,20,2
479,0,68,12
480,1,56,16
481,0,88,19
482,1,38,18
483,1,14,-1
484,1,23,2
485,0,24,14
486,1,36,14
487,1,19,19
488,0,42,19
489,0,10,-1
490,1,20,1
491,0,11,-1
492,1,70,2
493,0,17,-1
494,0,39,0
495,1,45,21
496,0,67,3
497,0,22,0
498,1,36,21
499,1,13,-1
500,1,50,14
501,0,27,16
502,0,58,0
503,1,86,14
504,1,31,1
505,0,17,-1
506,0,49,2
507,0,6,-1
508,1,14,-1
509,0,21,1
510,1,16,-1
511,1,47,15
512,1,22,9
513,0,51,1
514,1,21,14
515,1,29,1
516,0,33,12
517,0,22,1
518,1,55,12
519,1,27,12
520,1,21,21
521,1,18,-1
522,0,59,1
523,1,48,12
524,0,23,1
525,0,12,-1
526,1,57,19
527,0,47,12
528,0,43,12
529,1,50,14
530,1,81,21
531,1,81,14
532,1,42,14
533,1,30,14
534,0,43,14
535,1,51,17
536,1,16,-1
537,0,34,19
538,1,36,0
539,0,43,1
540,0,36,1
541,0,32,1
542,1,22,13
543,1,38,1
544,1,28,8
545,1,61,1
546,0,45,18
547,1,10,-1
548,0,60,0
549,0,4,-1
550,1,38,14
551,0,60,14
552,0,48,14
553,0,41,15
554,0,39,14
555,0,79,0
556,1,67,20
557,1,37,2
558,1,33,14
559,0,21,12
560,0,10,-1
561,1,61,12
562,1,30,12
563,1,41,1
564,1,62,0
565,1,81,0
566,1,33,20
567,0,29,12
568,1,39,18
569,1,60,14
570,1,33,14
571,0,56,12
572,0,48,14
573,0,54,14
574,1,28,21
575,0,47,19
576,1,10,-1
577,1,60,14
578,1,23,14
579,1,12,-1
580,1,34,2
581,1,27,2
582,1,26,0
583,0,20,18
584,0,50,0
585,1,10,-1
586,0,53,2
587,0,74,14
588,1,15,-1
589,0,62,14
590,1,78,0
591,0,85,10
592,0,41,1
593,1,26,14
594,0,70,12
595,1,26,14
596,0,11,-1
597,0,28,16
598,0,54,1
599,0,30,2
600,0,2,-1
601,0,58,12
602,0,41,12
603,0,26,15
604,1,19,18
605,0,67,0
606,1,79,14
607,1,41,21
608,0,21,1
609,1,18,-1
610,0,63,19
611,1,20,1
612,0,41,0
613,0,33,21
614,1,42,12
615,1,5,-1
616,1,26,1
617,1,47,0
618,0,33,1
619,0,10,-1
620,1,15,-1
621,1,59,21
622,0,3,-1
623,0,67,9
624,1,21,14
625,1,64,14
626,1,80,13
627,1,15,-1
628,0,57,12
629,0,1,-1
630,1,57,18
631,1,72,9
632,1,46,12
633,0,114,12
634,1,22,14
635,0,14,-1
636,0,63,2
637,0,33,1
638,0,43,12
639,0,27,0
640,0,46,2
641,0,62,12
642,1,43,21
643,1,16,-1
644,0,49,2
645,1,26,21
646,1,37,14
647,0,68,16
648,0,29,20
649,0,49,18
650,0,45,1
651,1,32,20
652,1,62,2
653,0,61,1
654,0,41,21
655,1,44,9
656,0,14,-1
657,0,70,14
658,1,17,-1
659,1,10,-1
660,1,64,0
661,0,6,-1
662,1,41,18
663,1,3,-1
664,0,40,2
665,1,6,-1
666,1,22,12
667,0,22,1
668,0,12,-1
669,1,46,14
670,0,29,18
671,1,42,12
672,1,52,0
673,1,12,-1
674,1,85,14
675,1,23,12
676,1,29,18
677,0,37,18
678,0,13,-1
679,0,20,15
680,1,20,14
681,1,27,20
682,1,58,19
683,1,2,-1
684,1,45,21
685,1,41,12
686,1,30,21
687,0,36,2
688,1,58,14
689,1,59,12
690,1,35,2
691,1,21,12
692,1,52,14
693,1,22,20
694,1,26,0
695,1,42,2
696,0,36,18
697,1,1,-1
698,1,6,-1
699,0,31,21
700,0,64,12
701,0,55,18
702,1,36,19
703,0,69,15
704,1,2,-1
705,0,5,-1
706,0,4,-1
707,1,47,19
708,0,28,15
709,1,51,14
710,0,24,13
711,0,29,7
712,1,20,19
713,1,48,2
714,0,63,12
715,0,10,-1
716,0,70,12
717,0,13,-1
718,0,33,18
719,1,18,-1
720,0,31,12
721,0,40,16
722,0,58,14
723,0,28,16
724,0,11,-1
725,0,14,-1
726,0,17,-1
727,0,8,-1
728,0,40,18
729,0,90,14
730,0,28,15
731,1,5,-1
732,0,39,8
733,0,9,-1
734,0,37,1
735,1,22,1
736,1,32,19
737,0,63,0
738,1,29,11
739,0,55,14
740,0,68,18
741,1,12,-1
742,1,60,4
743,1,8,-1
744,0,17,-1
745,0,1,-1
746,1,27,14
747,1,68,1
748,0,43,21
749,0,24,7
750,1,13,-1
751,1,1,-1
752,0,59,2
753,1,8,-1
754,1,40,12
755,0,39,6
756,0,78,6
757,1,28,2
758,0,52,14
759,0,44,16
760,0,15,-1
761,0,48,14
762,0,26,15
763,0,54,3
764,1,86,2
765,1,41,8
766,1,15,-1
767,1,29,12
768,1,54,15
769,1,25,14
770,0,53,12
771,1,19,19
772,1,57,21
773,1,8,-1
774,1,34,1
775,0,44,2
776,1,46,12
777,0,94,12
778,1,65,0
779,0,55,1
780,0,56,2
781,0,35,21
782,1,58,0
783,0,52,21
784,0,13,-1
785,1,30,12
786,1,43,14
787,0,21,12
788,0,51,20
789,1,45,14
790,1,38,12
791,1,40,12
792,0,53,14
793,0,24,14
794,1,8,-1
795,1,39,17
796,0,59,0
797,0,77,21
798,0,32,2
799,1,61,11
800,1,33,0
801,1,31,12
802,1,43,14
803,0,21,12
804,1,55,1
805,0,12,-1
806,1,17,-1
807,0,31,12
808,1,77,12
809,0,34,21
810,1,24,20
811,0,20,12
812,0,23,9
813,1,42,21
814,1,47,19
815,1,12,-1
816,1,32,15
817,0,56,14
818,0,35,2
819,1,39,14
820,0,50,14
821,0,8,-1
822,0,40,0
823,1,6,-1
824,0,20,14
825,1,79,12
826,1,34,2
827,0,43,2
828,1,41,6
829,1,51,21
830,1,16,-1
831,0,59,12
832,0,43,20
833,0,38,0
834,0,31,1
835,1,62,14
836,1,34,14
837,1,10,-1
838,0,22,21
839,0,18,-1
840,0,39,1
841,1,26,1
842,0,2,-1
843,0,16,-1
844,1,53,15
845,0,16,-1
846,0,54,12
847,1,41,12
848,1,46,21
849,0,23,1
850,0,21,1
851,1,8,-1
852,1,49,14
853,0,50,2
854,0,43,21
855,0,56,20
856,0,6,-1
857,1,7,-1
858,0,32,19
859,0,56,14
860,0,34,14
861,0,53,14
862,1,57,13
863,0,48,0
864,1,11,-1
865,1,8,-1
866,1,19,14
867,1,21,2
868,1,70,9
869,0,41,12
870,1,23,1
871,1,26,1
872,1,35,12
873,1,52,2
874,0,62,1
875,1,98,20
876,0,7,-1
877,1,24,15
878,1,33,1
879,0,39,14
880,1,30,14
881,0,42,0
882,0,41,15
883,0,102,1
884,1,10,-1
885,1,17,-1
886,0,62,18
887,1,17,-1
888,1,59,14
889,0,14,-1
890,0,24,2
891,0,7,-1
892,1,51,12
893,0,31,21
894,0,23,12
895,1,65,21
896,0,77,2
897,0,28,20
898,0,74,18
899,1,44,2
900,0,28,14
901,0,4,-1
902,0,2,-1
903,0,27,18
904,0,4,-1
905,0,10,-1
906,1,15,-1
907,1,48,14
908,1,14,-1
909,0,23,12
910,1,27,12
911,1,13,-1
912,1,13,-1
913,0,17,-1
914,0,55,21
915,1,64,15
916,1,73,15
917,0,2,-1
918,0,32,2
919,1,8,-1
920,1,11,-1
921,0,2,-1
922,0,27,15
923,0,62,18
924,0,39,14
925,1,18,-1
926,1,8,-1
927,0,39,21
928,1,36,12
929,1,15,-1
930,1,86,12
931,0,13,-1
932,1,27,0
933,1,36,14
934,1,4,-1
935,0,25,0
936,1,41,14
937,0,32,2
938,1,34,14
939,0,45,18
940,0,35,12
941,0,26,1
942,0,41,20
943,0,15,-1
944,1,31,20
945,1,6,-1
946,0,13,-1
947,1,49,1
