"","sex","age","occupations"
"1",0,59,18
"2",1,35,17
"3",0,13,-1
"4",0,11,-1
"5",1,1,-1
"6",1,35,12
"7",1,54,1
"8",1,57,12
"9",1,43,14
"10",1,38,12
"11",0,6,-1
"12",1,26,13
"13",1,46,5
"14",0,15,-1
"15",1,18,-1
"16",1,19,12
"17",1,65,0
"18",1,16,-1
"19",0,40,0
"20",1,18,-1
"21",1,23,18
"22",1,9,-1
"23",1,8,-1
"24",1,17,-1
"25",0,64,1
"26",1,27,2
"27",1,4,-1
"28",1,14,-1
"29",1,59,15
"30",0,45,2
"31",1,78,20
"32",1,67,18
"33",1,12,-1
"34",0,17,-1
"35",0,4,-1
"36",1,30,1
"37",0,21,14
"38",0,21,18
"39",0,8,-1
"40",1,12,-1
"41",0,12,-1
"42",1,26,19
"43",1,1,-1
"44",1,37,12
"45",1,41,14
"46",1,42,2
"47",1,11,-1
"48",1,15,-1
"49",0,41,15
"50",1,58,2
"51",1,20,18
"52",1,30,12
"53",1,62,19
"54",1,54,14
"55",1,15,-1
"56",0,20,14
"57",1,38,15
"58",1,63,14
"59",0,40,12
"60",1,21,21
"61",1,16,-1
"62",1,16,-1
"63",1,39,1
"64",1,52,0
"65",1,26,4
"66",1,22,2
"67",1,16,-1
"68",1,3,-1
"69",1,31,21
"70",1,12,-1
"71",1,59,1
"72",1,53,12
"73",1,52,14
"74",1,46,9
"75",0,42,14
"76",1,7,-1
"77",0,37,21
"78",1,63,19
"79",1,23,1
"80",1,0,-1
"81",1,91,14
"82",0,10,-1
"83",1,63,21
"84",1,47,21
"85",0,24,20
"86",1,41,20
"87",1,49,0
"88",0,20,19
"89",1,8,-1
"90",1,18,-1
"91",1,87,14
"92",1,39,2
"93",1,35,18
"94",1,47,18
"95",1,49,9
"96",1,46,14
"97",1,21,14
"98",1,49,1
"99",1,41,2
"100",1,22,21
"101",1,17,-1
"102",1,30,16
"103",1,13,-1
"104",1,49,0
"105",1,73,14
"106",1,44,9
"107",1,40,0
"108",1,37,13
"109",1,7,-1
"110",1,6,-1
"111",1,83,2
"112",1,62,14
"113",1,71,12
"114",1,31,21
"115",0,24,9
"116",1,16,-1
"117",1,33,2
"118",1,13,-1
"119",1,43,12
"120",1,13,-1
"121",1,43,1
"122",1,21,3
"123",1,43,15
"124",1,9,-1
"125",1,47,12
"126",1,41,14
"127",1,75,18
"128",1,78,2
"129",0,60,15
"130",1,5,-1
"131",0,12,-1
"132",0,37,12
"133",1,36,14
"134",1,3,-1
"135",1,20,4
"136",0,6,-1
"137",0,3,-1
"138",1,10,-1
"139",1,58,19
"140",1,32,15
"141",1,53,2
"142",0,32,7
"143",1,23,21
"144",1,26,16
"145",1,48,12
"146",1,66,8
"147",0,11,-1
"148",1,23,0
"149",1,29,13
"150",1,55,1
"151",1,27,14
"152",1,67,9
"153",1,35,21
"154",1,49,12
"155",0,37,21
"156",1,48,12
"157",1,22,12
"158",0,30,2
"159",0,13,-1
"160",0,19,2
"161",0,52,1
"162",1,33,13
"163",0,50,15
"164",1,28,9
"165",0,94,12
"166",1,3,-1
"167",1,31,1
